publication_date,date,N
2020-04-22,2020-03-09,0
2020-04-22,2020-03-10,0
2020-04-22,2020-03-11,1
2020-04-22,2020-03-12,0
2020-04-22,2020-03-13,1
2020-04-22,2020-03-14,1
2020-04-22,2020-03-15,2
2020-04-22,2020-03-16,2
2020-04-22,2020-03-17,1
2020-04-22,2020-03-18,6
2020-04-22,2020-03-19,7
2020-04-22,2020-03-20,10
2020-04-22,2020-03-21,7
2020-04-22,2020-03-22,12
2020-04-22,2020-03-23,11
2020-04-22,2020-03-24,21
2020-04-22,2020-03-25,24
2020-04-22,2020-03-26,29
2020-04-22,2020-03-27,32
2020-04-22,2020-03-28,35
2020-04-22,2020-03-29,39
2020-04-22,2020-03-30,44
2020-04-22,2020-03-31,46
2020-04-22,2020-04-01,51
2020-04-22,2020-04-02,69
2020-04-22,2020-04-03,81
2020-04-22,2020-04-04,71
2020-04-22,2020-04-05,84
2020-04-22,2020-04-06,89
2020-04-22,2020-04-07,82
2020-04-22,2020-04-08,110
2020-04-22,2020-04-09,85
2020-04-22,2020-04-10,84
2020-04-22,2020-04-11,93
2020-04-22,2020-04-12,94
2020-04-22,2020-04-13,84
2020-04-22,2020-04-14,81
2020-04-22,2020-04-15,96
2020-04-22,2020-04-16,96
2020-04-22,2020-04-17,57
2020-04-22,2020-04-18,59
2020-04-22,2020-04-19,53
2020-04-22,2020-04-20,46
2020-04-22,2020-04-21,18
2020-04-22,2020-04-22,5
2020-04-23,,15
2020-04-23,2020-03-01,0
2020-04-23,2020-03-02,0
2020-04-23,2020-03-03,0
2020-04-23,2020-03-04,0
2020-04-23,2020-03-05,0
2020-04-23,2020-03-06,0
2020-04-23,2020-03-07,0
2020-04-23,2020-03-08,0
2020-04-23,2020-03-09,0
2020-04-23,2020-03-10,0
2020-04-23,2020-03-11,1
2020-04-23,2020-03-12,0
2020-04-23,2020-03-13,1
2020-04-23,2020-03-14,1
2020-04-23,2020-03-15,2
2020-04-23,2020-03-16,2
2020-04-23,2020-03-17,1
2020-04-23,2020-03-18,6
2020-04-23,2020-03-19,7
2020-04-23,2020-03-20,9
2020-04-23,2020-03-21,8
2020-04-23,2020-03-22,12
2020-04-23,2020-03-23,11
2020-04-23,2020-03-24,20
2020-04-23,2020-03-25,23
2020-04-23,2020-03-26,31
2020-04-23,2020-03-27,32
2020-04-23,2020-03-28,35
2020-04-23,2020-03-29,39
2020-04-23,2020-03-30,43
2020-04-23,2020-03-31,47
2020-04-23,2020-04-01,52
2020-04-23,2020-04-02,69
2020-04-23,2020-04-03,78
2020-04-23,2020-04-04,71
2020-04-23,2020-04-05,86
2020-04-23,2020-04-06,91
2020-04-23,2020-04-07,83
2020-04-23,2020-04-08,111
2020-04-23,2020-04-09,84
2020-04-23,2020-04-10,89
2020-04-23,2020-04-11,96
2020-04-23,2020-04-12,95
2020-04-23,2020-04-13,84
2020-04-23,2020-04-14,89
2020-04-23,2020-04-15,102
2020-04-23,2020-04-16,99
2020-04-23,2020-04-17,64
2020-04-23,2020-04-18,63
2020-04-23,2020-04-19,60
2020-04-23,2020-04-20,54
2020-04-23,2020-04-21,26
2020-04-23,2020-04-22,26
2020-04-23,2020-04-23,3
2020-04-24,,17
2020-04-24,2020-03-01,0
2020-04-24,2020-03-02,0
2020-04-24,2020-03-03,0
2020-04-24,2020-03-04,0
2020-04-24,2020-03-05,0
2020-04-24,2020-03-06,0
2020-04-24,2020-03-07,0
2020-04-24,2020-03-08,0
2020-04-24,2020-03-09,0
2020-04-24,2020-03-10,0
2020-04-24,2020-03-11,1
2020-04-24,2020-03-12,0
2020-04-24,2020-03-13,1
2020-04-24,2020-03-14,1
2020-04-24,2020-03-15,2
2020-04-24,2020-03-16,2
2020-04-24,2020-03-17,1
2020-04-24,2020-03-18,6
2020-04-24,2020-03-19,7
2020-04-24,2020-03-20,9
2020-04-24,2020-03-21,8
2020-04-24,2020-03-22,12
2020-04-24,2020-03-23,11
2020-04-24,2020-03-24,20
2020-04-24,2020-03-25,23
2020-04-24,2020-03-26,31
2020-04-24,2020-03-27,32
2020-04-24,2020-03-28,35
2020-04-24,2020-03-29,39
2020-04-24,2020-03-30,43
2020-04-24,2020-03-31,47
2020-04-24,2020-04-01,53
2020-04-24,2020-04-02,69
2020-04-24,2020-04-03,78
2020-04-24,2020-04-04,71
2020-04-24,2020-04-05,86
2020-04-24,2020-04-06,91
2020-04-24,2020-04-07,83
2020-04-24,2020-04-08,110
2020-04-24,2020-04-09,84
2020-04-24,2020-04-10,89
2020-04-24,2020-04-11,98
2020-04-24,2020-04-12,96
2020-04-24,2020-04-13,84
2020-04-24,2020-04-14,91
2020-04-24,2020-04-15,108
2020-04-24,2020-04-16,107
2020-04-24,2020-04-17,72
2020-04-24,2020-04-18,72
2020-04-24,2020-04-19,73
2020-04-24,2020-04-20,70
2020-04-24,2020-04-21,42
2020-04-24,2020-04-22,40
2020-04-24,2020-04-23,31
2020-04-24,2020-04-24,6
2020-04-25,,20
2020-04-25,2020-03-01,0
2020-04-25,2020-03-02,0
2020-04-25,2020-03-03,0
2020-04-25,2020-03-04,0
2020-04-25,2020-03-05,0
2020-04-25,2020-03-06,0
2020-04-25,2020-03-07,0
2020-04-25,2020-03-08,0
2020-04-25,2020-03-09,0
2020-04-25,2020-03-10,0
2020-04-25,2020-03-11,1
2020-04-25,2020-03-12,0
2020-04-25,2020-03-13,1
2020-04-25,2020-03-14,1
2020-04-25,2020-03-15,2
2020-04-25,2020-03-16,2
2020-04-25,2020-03-17,1
2020-04-25,2020-03-18,6
2020-04-25,2020-03-19,7
2020-04-25,2020-03-20,9
2020-04-25,2020-03-21,8
2020-04-25,2020-03-22,12
2020-04-25,2020-03-23,11
2020-04-25,2020-03-24,20
2020-04-25,2020-03-25,23
2020-04-25,2020-03-26,31
2020-04-25,2020-03-27,32
2020-04-25,2020-03-28,35
2020-04-25,2020-03-29,39
2020-04-25,2020-03-30,43
2020-04-25,2020-03-31,47
2020-04-25,2020-04-01,53
2020-04-25,2020-04-02,69
2020-04-25,2020-04-03,78
2020-04-25,2020-04-04,71
2020-04-25,2020-04-05,86
2020-04-25,2020-04-06,91
2020-04-25,2020-04-07,83
2020-04-25,2020-04-08,110
2020-04-25,2020-04-09,84
2020-04-25,2020-04-10,89
2020-04-25,2020-04-11,98
2020-04-25,2020-04-12,97
2020-04-25,2020-04-13,84
2020-04-25,2020-04-14,90
2020-04-25,2020-04-15,109
2020-04-25,2020-04-16,107
2020-04-25,2020-04-17,74
2020-04-25,2020-04-18,73
2020-04-25,2020-04-19,76
2020-04-25,2020-04-20,70
2020-04-25,2020-04-21,46
2020-04-25,2020-04-22,43
2020-04-25,2020-04-23,41
2020-04-25,2020-04-24,19
2020-04-25,2020-04-25,0
2020-04-26,,20
2020-04-26,2020-03-01,0
2020-04-26,2020-03-02,0
2020-04-26,2020-03-03,0
2020-04-26,2020-03-04,0
2020-04-26,2020-03-05,0
2020-04-26,2020-03-06,0
2020-04-26,2020-03-07,0
2020-04-26,2020-03-08,0
2020-04-26,2020-03-09,0
2020-04-26,2020-03-10,0
2020-04-26,2020-03-11,1
2020-04-26,2020-03-12,0
2020-04-26,2020-03-13,1
2020-04-26,2020-03-14,1
2020-04-26,2020-03-15,2
2020-04-26,2020-03-16,2
2020-04-26,2020-03-17,1
2020-04-26,2020-03-18,6
2020-04-26,2020-03-19,7
2020-04-26,2020-03-20,9
2020-04-26,2020-03-21,8
2020-04-26,2020-03-22,12
2020-04-26,2020-03-23,11
2020-04-26,2020-03-24,20
2020-04-26,2020-03-25,23
2020-04-26,2020-03-26,31
2020-04-26,2020-03-27,32
2020-04-26,2020-03-28,35
2020-04-26,2020-03-29,39
2020-04-26,2020-03-30,43
2020-04-26,2020-03-31,47
2020-04-26,2020-04-01,53
2020-04-26,2020-04-02,69
2020-04-26,2020-04-03,78
2020-04-26,2020-04-04,71
2020-04-26,2020-04-05,86
2020-04-26,2020-04-06,91
2020-04-26,2020-04-07,83
2020-04-26,2020-04-08,110
2020-04-26,2020-04-09,84
2020-04-26,2020-04-10,89
2020-04-26,2020-04-11,98
2020-04-26,2020-04-12,97
2020-04-26,2020-04-13,84
2020-04-26,2020-04-14,90
2020-04-26,2020-04-15,109
2020-04-26,2020-04-16,107
2020-04-26,2020-04-17,74
2020-04-26,2020-04-18,73
2020-04-26,2020-04-19,76
2020-04-26,2020-04-20,70
2020-04-26,2020-04-21,47
2020-04-26,2020-04-22,43
2020-04-26,2020-04-23,41
2020-04-26,2020-04-24,19
2020-04-26,2020-04-25,1
2020-04-26,2020-04-26,0
2020-04-27,,21
2020-04-27,2020-03-01,0
2020-04-27,2020-03-02,0
2020-04-27,2020-03-03,0
2020-04-27,2020-03-04,0
2020-04-27,2020-03-05,0
2020-04-27,2020-03-06,0
2020-04-27,2020-03-07,0
2020-04-27,2020-03-08,0
2020-04-27,2020-03-09,0
2020-04-27,2020-03-10,0
2020-04-27,2020-03-11,1
2020-04-27,2020-03-12,0
2020-04-27,2020-03-13,1
2020-04-27,2020-03-14,1
2020-04-27,2020-03-15,2
2020-04-27,2020-03-16,2
2020-04-27,2020-03-17,1
2020-04-27,2020-03-18,6
2020-04-27,2020-03-19,7
2020-04-27,2020-03-20,9
2020-04-27,2020-03-21,8
2020-04-27,2020-03-22,12
2020-04-27,2020-03-23,11
2020-04-27,2020-03-24,20
2020-04-27,2020-03-25,23
2020-04-27,2020-03-26,31
2020-04-27,2020-03-27,32
2020-04-27,2020-03-28,35
2020-04-27,2020-03-29,39
2020-04-27,2020-03-30,43
2020-04-27,2020-03-31,47
2020-04-27,2020-04-01,53
2020-04-27,2020-04-02,69
2020-04-27,2020-04-03,78
2020-04-27,2020-04-04,72
2020-04-27,2020-04-05,86
2020-04-27,2020-04-06,91
2020-04-27,2020-04-07,83
2020-04-27,2020-04-08,110
2020-04-27,2020-04-09,84
2020-04-27,2020-04-10,89
2020-04-27,2020-04-11,100
2020-04-27,2020-04-12,97
2020-04-27,2020-04-13,84
2020-04-27,2020-04-14,90
2020-04-27,2020-04-15,109
2020-04-27,2020-04-16,108
2020-04-27,2020-04-17,74
2020-04-27,2020-04-18,74
2020-04-27,2020-04-19,77
2020-04-27,2020-04-20,72
2020-04-27,2020-04-21,48
2020-04-27,2020-04-22,51
2020-04-27,2020-04-23,47
2020-04-27,2020-04-24,30
2020-04-27,2020-04-25,21
2020-04-27,2020-04-26,23
2020-04-27,2020-04-27,2
2020-04-28,,18
2020-04-28,2020-03-01,0
2020-04-28,2020-03-02,0
2020-04-28,2020-03-03,0
2020-04-28,2020-03-04,0
2020-04-28,2020-03-05,0
2020-04-28,2020-03-06,0
2020-04-28,2020-03-07,0
2020-04-28,2020-03-08,0
2020-04-28,2020-03-09,0
2020-04-28,2020-03-10,0
2020-04-28,2020-03-11,1
2020-04-28,2020-03-12,0
2020-04-28,2020-03-13,1
2020-04-28,2020-03-14,1
2020-04-28,2020-03-15,2
2020-04-28,2020-03-16,2
2020-04-28,2020-03-17,1
2020-04-28,2020-03-18,6
2020-04-28,2020-03-19,7
2020-04-28,2020-03-20,9
2020-04-28,2020-03-21,8
2020-04-28,2020-03-22,12
2020-04-28,2020-03-23,11
2020-04-28,2020-03-24,20
2020-04-28,2020-03-25,23
2020-04-28,2020-03-26,31
2020-04-28,2020-03-27,32
2020-04-28,2020-03-28,35
2020-04-28,2020-03-29,39
2020-04-28,2020-03-30,43
2020-04-28,2020-03-31,47
2020-04-28,2020-04-01,53
2020-04-28,2020-04-02,70
2020-04-28,2020-04-03,78
2020-04-28,2020-04-04,72
2020-04-28,2020-04-05,86
2020-04-28,2020-04-06,91
2020-04-28,2020-04-07,83
2020-04-28,2020-04-08,111
2020-04-28,2020-04-09,85
2020-04-28,2020-04-10,89
2020-04-28,2020-04-11,99
2020-04-28,2020-04-12,97
2020-04-28,2020-04-13,84
2020-04-28,2020-04-14,90
2020-04-28,2020-04-15,109
2020-04-28,2020-04-16,108
2020-04-28,2020-04-17,75
2020-04-28,2020-04-18,76
2020-04-28,2020-04-19,77
2020-04-28,2020-04-20,73
2020-04-28,2020-04-21,50
2020-04-28,2020-04-22,60
2020-04-28,2020-04-23,54
2020-04-28,2020-04-24,44
2020-04-28,2020-04-25,29
2020-04-28,2020-04-26,40
2020-04-28,2020-04-27,21
2020-04-28,2020-04-28,2
2020-04-29,,13
2020-04-29,2020-03-01,0
2020-04-29,2020-03-02,0
2020-04-29,2020-03-03,0
2020-04-29,2020-03-04,0
2020-04-29,2020-03-05,0
2020-04-29,2020-03-06,0
2020-04-29,2020-03-07,0
2020-04-29,2020-03-08,0
2020-04-29,2020-03-09,0
2020-04-29,2020-03-10,0
2020-04-29,2020-03-11,1
2020-04-29,2020-03-12,0
2020-04-29,2020-03-13,1
2020-04-29,2020-03-14,1
2020-04-29,2020-03-15,2
2020-04-29,2020-03-16,2
2020-04-29,2020-03-17,1
2020-04-29,2020-03-18,6
2020-04-29,2020-03-19,7
2020-04-29,2020-03-20,9
2020-04-29,2020-03-21,8
2020-04-29,2020-03-22,12
2020-04-29,2020-03-23,11
2020-04-29,2020-03-24,21
2020-04-29,2020-03-25,22
2020-04-29,2020-03-26,31
2020-04-29,2020-03-27,32
2020-04-29,2020-03-28,35
2020-04-29,2020-03-29,39
2020-04-29,2020-03-30,43
2020-04-29,2020-03-31,48
2020-04-29,2020-04-01,53
2020-04-29,2020-04-02,70
2020-04-29,2020-04-03,78
2020-04-29,2020-04-04,72
2020-04-29,2020-04-05,86
2020-04-29,2020-04-06,90
2020-04-29,2020-04-07,84
2020-04-29,2020-04-08,113
2020-04-29,2020-04-09,86
2020-04-29,2020-04-10,91
2020-04-29,2020-04-11,99
2020-04-29,2020-04-12,98
2020-04-29,2020-04-13,85
2020-04-29,2020-04-14,91
2020-04-29,2020-04-15,110
2020-04-29,2020-04-16,107
2020-04-29,2020-04-17,80
2020-04-29,2020-04-18,81
2020-04-29,2020-04-19,86
2020-04-29,2020-04-20,75
2020-04-29,2020-04-21,59
2020-04-29,2020-04-22,68
2020-04-29,2020-04-23,65
2020-04-29,2020-04-24,50
2020-04-29,2020-04-25,39
2020-04-29,2020-04-26,45
2020-04-29,2020-04-27,35
2020-04-29,2020-04-28,17
2020-04-29,2020-04-29,4
2020-04-30,,10
2020-04-30,2020-03-01,0
2020-04-30,2020-03-02,0
2020-04-30,2020-03-03,0
2020-04-30,2020-03-04,0
2020-04-30,2020-03-05,0
2020-04-30,2020-03-06,0
2020-04-30,2020-03-07,0
2020-04-30,2020-03-08,0
2020-04-30,2020-03-09,0
2020-04-30,2020-03-10,0
2020-04-30,2020-03-11,1
2020-04-30,2020-03-12,0
2020-04-30,2020-03-13,1
2020-04-30,2020-03-14,1
2020-04-30,2020-03-15,2
2020-04-30,2020-03-16,2
2020-04-30,2020-03-17,1
2020-04-30,2020-03-18,6
2020-04-30,2020-03-19,7
2020-04-30,2020-03-20,9
2020-04-30,2020-03-21,8
2020-04-30,2020-03-22,12
2020-04-30,2020-03-23,11
2020-04-30,2020-03-24,21
2020-04-30,2020-03-25,22
2020-04-30,2020-03-26,31
2020-04-30,2020-03-27,32
2020-04-30,2020-03-28,35
2020-04-30,2020-03-29,39
2020-04-30,2020-03-30,43
2020-04-30,2020-03-31,49
2020-04-30,2020-04-01,53
2020-04-30,2020-04-02,70
2020-04-30,2020-04-03,78
2020-04-30,2020-04-04,73
2020-04-30,2020-04-05,86
2020-04-30,2020-04-06,90
2020-04-30,2020-04-07,84
2020-04-30,2020-04-08,114
2020-04-30,2020-04-09,86
2020-04-30,2020-04-10,91
2020-04-30,2020-04-11,100
2020-04-30,2020-04-12,98
2020-04-30,2020-04-13,85
2020-04-30,2020-04-14,91
2020-04-30,2020-04-15,112
2020-04-30,2020-04-16,108
2020-04-30,2020-04-17,80
2020-04-30,2020-04-18,85
2020-04-30,2020-04-19,86
2020-04-30,2020-04-20,81
2020-04-30,2020-04-21,60
2020-04-30,2020-04-22,70
2020-04-30,2020-04-23,73
2020-04-30,2020-04-24,71
2020-04-30,2020-04-25,48
2020-04-30,2020-04-26,52
2020-04-30,2020-04-27,49
2020-04-30,2020-04-28,34
2020-04-30,2020-04-29,26
2020-04-30,2020-04-30,9
2020-05-01,,10
2020-05-01,2020-03-01,0
2020-05-01,2020-03-02,0
2020-05-01,2020-03-03,0
2020-05-01,2020-03-04,0
2020-05-01,2020-03-05,0
2020-05-01,2020-03-06,0
2020-05-01,2020-03-07,0
2020-05-01,2020-03-08,0
2020-05-01,2020-03-09,0
2020-05-01,2020-03-10,0
2020-05-01,2020-03-11,1
2020-05-01,2020-03-12,0
2020-05-01,2020-03-13,1
2020-05-01,2020-03-14,1
2020-05-01,2020-03-15,2
2020-05-01,2020-03-16,2
2020-05-01,2020-03-17,1
2020-05-01,2020-03-18,6
2020-05-01,2020-03-19,7
2020-05-01,2020-03-20,9
2020-05-01,2020-03-21,8
2020-05-01,2020-03-22,12
2020-05-01,2020-03-23,11
2020-05-01,2020-03-24,21
2020-05-01,2020-03-25,22
2020-05-01,2020-03-26,31
2020-05-01,2020-03-27,32
2020-05-01,2020-03-28,35
2020-05-01,2020-03-29,38
2020-05-01,2020-03-30,44
2020-05-01,2020-03-31,49
2020-05-01,2020-04-01,53
2020-05-01,2020-04-02,70
2020-05-01,2020-04-03,78
2020-05-01,2020-04-04,73
2020-05-01,2020-04-05,86
2020-05-01,2020-04-06,90
2020-05-01,2020-04-07,84
2020-05-01,2020-04-08,114
2020-05-01,2020-04-09,86
2020-05-01,2020-04-10,90
2020-05-01,2020-04-11,101
2020-05-01,2020-04-12,98
2020-05-01,2020-04-13,85
2020-05-01,2020-04-14,91
2020-05-01,2020-04-15,112
2020-05-01,2020-04-16,108
2020-05-01,2020-04-17,79
2020-05-01,2020-04-18,87
2020-05-01,2020-04-19,87
2020-05-01,2020-04-20,82
2020-05-01,2020-04-21,63
2020-05-01,2020-04-22,71
2020-05-01,2020-04-23,76
2020-05-01,2020-04-24,76
2020-05-01,2020-04-25,56
2020-05-01,2020-04-26,60
2020-05-01,2020-04-27,54
2020-05-01,2020-04-28,41
2020-05-01,2020-04-29,41
2020-05-01,2020-04-30,18
2020-05-01,2020-05-01,0
2020-05-02,,10
2020-05-02,2020-03-01,0
2020-05-02,2020-03-02,0
2020-05-02,2020-03-03,0
2020-05-02,2020-03-04,0
2020-05-02,2020-03-05,0
2020-05-02,2020-03-06,0
2020-05-02,2020-03-07,0
2020-05-02,2020-03-08,0
2020-05-02,2020-03-09,0
2020-05-02,2020-03-10,0
2020-05-02,2020-03-11,1
2020-05-02,2020-03-12,0
2020-05-02,2020-03-13,1
2020-05-02,2020-03-14,1
2020-05-02,2020-03-15,2
2020-05-02,2020-03-16,2
2020-05-02,2020-03-17,1
2020-05-02,2020-03-18,6
2020-05-02,2020-03-19,7
2020-05-02,2020-03-20,9
2020-05-02,2020-03-21,8
2020-05-02,2020-03-22,12
2020-05-02,2020-03-23,11
2020-05-02,2020-03-24,21
2020-05-02,2020-03-25,22
2020-05-02,2020-03-26,31
2020-05-02,2020-03-27,32
2020-05-02,2020-03-28,35
2020-05-02,2020-03-29,38
2020-05-02,2020-03-30,44
2020-05-02,2020-03-31,49
2020-05-02,2020-04-01,53
2020-05-02,2020-04-02,70
2020-05-02,2020-04-03,78
2020-05-02,2020-04-04,73
2020-05-02,2020-04-05,86
2020-05-02,2020-04-06,90
2020-05-02,2020-04-07,84
2020-05-02,2020-04-08,114
2020-05-02,2020-04-09,86
2020-05-02,2020-04-10,90
2020-05-02,2020-04-11,101
2020-05-02,2020-04-12,98
2020-05-02,2020-04-13,85
2020-05-02,2020-04-14,91
2020-05-02,2020-04-15,112
2020-05-02,2020-04-16,108
2020-05-02,2020-04-17,79
2020-05-02,2020-04-18,87
2020-05-02,2020-04-19,87
2020-05-02,2020-04-20,83
2020-05-02,2020-04-21,63
2020-05-02,2020-04-22,71
2020-05-02,2020-04-23,76
2020-05-02,2020-04-24,76
2020-05-02,2020-04-25,56
2020-05-02,2020-04-26,60
2020-05-02,2020-04-27,54
2020-05-02,2020-04-28,41
2020-05-02,2020-04-29,41
2020-05-02,2020-04-30,22
2020-05-02,2020-05-01,10
2020-05-02,2020-05-02,1
2020-05-03,,9
2020-05-03,2020-03-01,0
2020-05-03,2020-03-02,0
2020-05-03,2020-03-03,0
2020-05-03,2020-03-04,0
2020-05-03,2020-03-05,0
2020-05-03,2020-03-06,0
2020-05-03,2020-03-07,0
2020-05-03,2020-03-08,0
2020-05-03,2020-03-09,0
2020-05-03,2020-03-10,0
2020-05-03,2020-03-11,1
2020-05-03,2020-03-12,0
2020-05-03,2020-03-13,1
2020-05-03,2020-03-14,1
2020-05-03,2020-03-15,2
2020-05-03,2020-03-16,2
2020-05-03,2020-03-17,1
2020-05-03,2020-03-18,6
2020-05-03,2020-03-19,7
2020-05-03,2020-03-20,9
2020-05-03,2020-03-21,8
2020-05-03,2020-03-22,12
2020-05-03,2020-03-23,11
2020-05-03,2020-03-24,21
2020-05-03,2020-03-25,22
2020-05-03,2020-03-26,31
2020-05-03,2020-03-27,32
2020-05-03,2020-03-28,35
2020-05-03,2020-03-29,38
2020-05-03,2020-03-30,44
2020-05-03,2020-03-31,49
2020-05-03,2020-04-01,53
2020-05-03,2020-04-02,70
2020-05-03,2020-04-03,78
2020-05-03,2020-04-04,73
2020-05-03,2020-04-05,86
2020-05-03,2020-04-06,90
2020-05-03,2020-04-07,84
2020-05-03,2020-04-08,114
2020-05-03,2020-04-09,86
2020-05-03,2020-04-10,90
2020-05-03,2020-04-11,101
2020-05-03,2020-04-12,98
2020-05-03,2020-04-13,85
2020-05-03,2020-04-14,91
2020-05-03,2020-04-15,112
2020-05-03,2020-04-16,109
2020-05-03,2020-04-17,79
2020-05-03,2020-04-18,87
2020-05-03,2020-04-19,87
2020-05-03,2020-04-20,83
2020-05-03,2020-04-21,63
2020-05-03,2020-04-22,71
2020-05-03,2020-04-23,76
2020-05-03,2020-04-24,76
2020-05-03,2020-04-25,56
2020-05-03,2020-04-26,60
2020-05-03,2020-04-27,54
2020-05-03,2020-04-28,42
2020-05-03,2020-04-29,41
2020-05-03,2020-04-30,23
2020-05-03,2020-05-01,11
2020-05-03,2020-05-02,5
2020-05-03,2020-05-03,3
2020-05-04,,8
2020-05-04,2020-03-01,0
2020-05-04,2020-03-02,0
2020-05-04,2020-03-03,0
2020-05-04,2020-03-04,0
2020-05-04,2020-03-05,0
2020-05-04,2020-03-06,0
2020-05-04,2020-03-07,0
2020-05-04,2020-03-08,0
2020-05-04,2020-03-09,0
2020-05-04,2020-03-10,0
2020-05-04,2020-03-11,1
2020-05-04,2020-03-12,0
2020-05-04,2020-03-13,1
2020-05-04,2020-03-14,1
2020-05-04,2020-03-15,2
2020-05-04,2020-03-16,2
2020-05-04,2020-03-17,1
2020-05-04,2020-03-18,6
2020-05-04,2020-03-19,7
2020-05-04,2020-03-20,9
2020-05-04,2020-03-21,8
2020-05-04,2020-03-22,12
2020-05-04,2020-03-23,11
2020-05-04,2020-03-24,21
2020-05-04,2020-03-25,22
2020-05-04,2020-03-26,31
2020-05-04,2020-03-27,32
2020-05-04,2020-03-28,35
2020-05-04,2020-03-29,38
2020-05-04,2020-03-30,44
2020-05-04,2020-03-31,49
2020-05-04,2020-04-01,53
2020-05-04,2020-04-02,71
2020-05-04,2020-04-03,78
2020-05-04,2020-04-04,72
2020-05-04,2020-04-05,87
2020-05-04,2020-04-06,90
2020-05-04,2020-04-07,84
2020-05-04,2020-04-08,114
2020-05-04,2020-04-09,86
2020-05-04,2020-04-10,90
2020-05-04,2020-04-11,102
2020-05-04,2020-04-12,97
2020-05-04,2020-04-13,85
2020-05-04,2020-04-14,91
2020-05-04,2020-04-15,113
2020-05-04,2020-04-16,108
2020-05-04,2020-04-17,79
2020-05-04,2020-04-18,88
2020-05-04,2020-04-19,88
2020-05-04,2020-04-20,84
2020-05-04,2020-04-21,62
2020-05-04,2020-04-22,73
2020-05-04,2020-04-23,80
2020-05-04,2020-04-24,82
2020-05-04,2020-04-25,59
2020-05-04,2020-04-26,63
2020-05-04,2020-04-27,62
2020-05-04,2020-04-28,45
2020-05-04,2020-04-29,45
2020-05-04,2020-04-30,33
2020-05-04,2020-05-01,22
2020-05-04,2020-05-02,19
2020-05-04,2020-05-03,20
2020-05-04,2020-05-04,3
2020-05-05,,8
2020-05-05,2020-03-01,0
2020-05-05,2020-03-02,0
2020-05-05,2020-03-03,0
2020-05-05,2020-03-04,0
2020-05-05,2020-03-05,0
2020-05-05,2020-03-06,0
2020-05-05,2020-03-07,0
2020-05-05,2020-03-08,0
2020-05-05,2020-03-09,0
2020-05-05,2020-03-10,0
2020-05-05,2020-03-11,1
2020-05-05,2020-03-12,0
2020-05-05,2020-03-13,1
2020-05-05,2020-03-14,1
2020-05-05,2020-03-15,2
2020-05-05,2020-03-16,2
2020-05-05,2020-03-17,1
2020-05-05,2020-03-18,6
2020-05-05,2020-03-19,7
2020-05-05,2020-03-20,9
2020-05-05,2020-03-21,8
2020-05-05,2020-03-22,11
2020-05-05,2020-03-23,11
2020-05-05,2020-03-24,21
2020-05-05,2020-03-25,22
2020-05-05,2020-03-26,31
2020-05-05,2020-03-27,32
2020-05-05,2020-03-28,35
2020-05-05,2020-03-29,38
2020-05-05,2020-03-30,44
2020-05-05,2020-03-31,49
2020-05-05,2020-04-01,53
2020-05-05,2020-04-02,71
2020-05-05,2020-04-03,78
2020-05-05,2020-04-04,72
2020-05-05,2020-04-05,86
2020-05-05,2020-04-06,90
2020-05-05,2020-04-07,84
2020-05-05,2020-04-08,114
2020-05-05,2020-04-09,86
2020-05-05,2020-04-10,90
2020-05-05,2020-04-11,102
2020-05-05,2020-04-12,98
2020-05-05,2020-04-13,85
2020-05-05,2020-04-14,91
2020-05-05,2020-04-15,113
2020-05-05,2020-04-16,108
2020-05-05,2020-04-17,79
2020-05-05,2020-04-18,89
2020-05-05,2020-04-19,88
2020-05-05,2020-04-20,86
2020-05-05,2020-04-21,62
2020-05-05,2020-04-22,73
2020-05-05,2020-04-23,81
2020-05-05,2020-04-24,82
2020-05-05,2020-04-25,62
2020-05-05,2020-04-26,66
2020-05-05,2020-04-27,66
2020-05-05,2020-04-28,51
2020-05-05,2020-04-29,55
2020-05-05,2020-04-30,40
2020-05-05,2020-05-01,32
2020-05-05,2020-05-02,27
2020-05-05,2020-05-03,31
2020-05-05,2020-05-04,19
2020-05-05,2020-05-05,4
2020-05-06,,5
2020-05-06,2020-03-01,0
2020-05-06,2020-03-02,0
2020-05-06,2020-03-03,0
2020-05-06,2020-03-04,0
2020-05-06,2020-03-05,0
2020-05-06,2020-03-06,0
2020-05-06,2020-03-07,0
2020-05-06,2020-03-08,0
2020-05-06,2020-03-09,0
2020-05-06,2020-03-10,0
2020-05-06,2020-03-11,1
2020-05-06,2020-03-12,0
2020-05-06,2020-03-13,1
2020-05-06,2020-03-14,1
2020-05-06,2020-03-15,2
2020-05-06,2020-03-16,2
2020-05-06,2020-03-17,1
2020-05-06,2020-03-18,6
2020-05-06,2020-03-19,7
2020-05-06,2020-03-20,9
2020-05-06,2020-03-21,8
2020-05-06,2020-03-22,11
2020-05-06,2020-03-23,11
2020-05-06,2020-03-24,21
2020-05-06,2020-03-25,22
2020-05-06,2020-03-26,31
2020-05-06,2020-03-27,32
2020-05-06,2020-03-28,35
2020-05-06,2020-03-29,38
2020-05-06,2020-03-30,44
2020-05-06,2020-03-31,49
2020-05-06,2020-04-01,53
2020-05-06,2020-04-02,71
2020-05-06,2020-04-03,78
2020-05-06,2020-04-04,72
2020-05-06,2020-04-05,86
2020-05-06,2020-04-06,90
2020-05-06,2020-04-07,84
2020-05-06,2020-04-08,114
2020-05-06,2020-04-09,86
